,timeStamp,URL,blogName,title,tags,body
0,2022-11-01 20:54:07 GMT,https://www.tumblr.com/blog/view/deadly-junk/699752563315212288,deadly-junk,,"['depressed', 'depression', 'original', 'zu laute gedanken', 'essstörung', 'essstoerung', 'esssgestört', 'hate', 'hate my self', 'essstörungs gedanken', 'zu dick', 'zu fett', 'ana', 'mia', 'pro ana', 'ana trigger', 'anorexik', 'bulimie', 'bulimist', 'bulimic', 'zugenommen', 'übelkeit', 'ekel', 'abnehmen']","Du hast gegessen, mal wieder war es Fast Food, weil du keine Disziplin hast.. Deine Gedanken kreisen ums erbrechen. Erneut stehst du im Badezimmer vor der Toilette. Tun oder nicht?Du versuchst dagegen anzukämpfen, immer wieder. Aber die Angst ist stärker. Die Angst ums fetter werden. Die Angst hässlich zu sein. Die Angst nicht gut genug zu sein. Letzendlich tust du es, du brichst weinend vor der Toilette danach zusammen, diese scheiß Bulimie…- Deadly-Junk"
1,2022-10-29 21:03:09 GMT,https://worte-mitohne-sinn.tumblr.com/post/699481340569075712/ich-kann-das-nicht-essen-nicht-vergessen,worte-mitohne-sinn,,"['essen', 'nicht essen', 'ed', 'es', 'essstörung', 'eating', 'ana', 'vergessen']",Ich kann das nicht essen nicht vergessen.
2,2022-10-29 14:58:18 GMT,https://www.tumblr.com/blog/view/kxputteseele/699458386593529856,kxputteseele,,"['Essstörung', 'angst vor dem essen', 'angst', 'herz gegen kopf', 'gefühle', 'angst vor dem schmerz', 'angst vor nähe', 'selbsthass', 'angst vor der zukunft', 'hass', 'ich fühle mich so leer', 'allein gelassen', 'leb wohl', 'nur du', 'krieg im kopf', 'vertrauen gebrochen', 'gebrochenes herz', 'für immer allein', 'svv']",„Was ist schlimmer als Fast Food?“ ... „eine Essstörung“~itsrolislife
3,2022-10-25 17:46:31 GMT,https://www.tumblr.com/blog/view/anahanni/699106582081994752,anahanni,,"['ana', 'anagruppe', 'anachat', 'abnehmgruppe', 'essstörung', 'abnehmen', 'strict ana']",Jemand Lust eine strenge Abnehmgruppe aufzubauen?Bitte 18+ besser noch 20+
4,2022-10-21 18:15:43 GMT,https://lebenisthart.tumblr.com/post/698746031269085184/suche-einen-pro-ana-twin-oder-eine-gruppe,lebenisthart,,"['pro ana', 'magersucht', 'fett', 'essstörung', 'ana gruppe', 'pro Ana twin', 'abnehmen', 'zugenommen', 'ana']",🤍 suche einen Pro Ana Twin oder eine Gruppe schreibt mir bitte 🤍
5,2022-10-09 17:21:36 GMT,https://worte-mitohne-sinn.tumblr.com/post/697655462841155584/ich-bin-es-so-leid-meinen-k%C3%B6rper-zu-hassen-doch,worte-mitohne-sinn,,"['körper', 'selbsthass', 'selbstliebe', 'ed', 'essstörung', 'eklig', 'selfhate']","Ich bin es so leid, meinen Körper zu hassen.Doch lieben kann ich ihn auch nicht."
6,2022-09-20 12:14:05 GMT,https://www.tumblr.com/blog/view/felicitas14/695914773318139904,felicitas14,,"['Pro Ana Gruppe', 'Pro Ana Group', 'pro ANa', 'Essstörung', 'Magersucht', 'Bulimie', 'Atypische Essstörung', 'pro Ana', 'Pro', 'Pro Ana', 'Gruppe', 'Abnehmen', 'Diät']","Hey,ich suche nach einer Pro Ana Gruppe. Ich bin 14 Jahre und ein Mädchen und ich habe wahrscheinlich Magersucht und Bulimie oder eine Atypische Anorexie. Ich würde mich auf eine Gruppe mit Challenges freuen und wo man ehrlich ist, also wegen Fressattacken und so. Was ich nicht will ist, mich zu übergeben oder Bilder zu posten. Aber Esspläne, und Komplimente sind erwünscht.Würde mich freuen, wenn sich auch Mädchen finden lassen, die so ca. zwischen 12 und 16 oder 17 sindBitte meldet euch bei Interesse"
7,2022-09-18 11:34:22 GMT,https://maniamind.tumblr.com/post/695731080391737344/wenn-du-eine-essst%C3%B6rung-hast-und-dich-mit-anderen,maniamind,"Wenn du eine Essstörung hast und dich mit anderen ES’lern connecten willst, bitte einmal ein like dalassen. <3","['Essstörung', 'Magersucht', 'Bulimie', 'anorexia']",Bitte keine Pro ED Blogs!
8,2022-07-31 16:07:15 GMT,https://www.tumblr.com/blog/view/andergrenze/691308996891688960,andergrenze,,"['borderline personality disorder', 'borderline', 'anorexik', 'bulimie', 'essstörung', 'eating disorder', 'depression', 'komplexe ptbs', 'trauma', 'emotional instabile persönlichkeitsstörung']","Vielleicht bin ich mehr borderline als ich dachte Traurige Erkenntnis Ich bin das was ich nie sein wollte Alle Therapien und Menschen sind für mich bestimmt, die ich eigentlich so gehasst habe Es ist der Hass Nicht gegen mich Sondern diese Krankheit Die ich habe "
9,2022-07-30 06:19:35 GMT,https://voller-worte.tumblr.com/post/691181427676561408/lebensspiel,voller-worte,,"['behinderte Menschen', 'Essstörung', 'Familie', 'Gedanken', 'Geschwister', 'Junioren', 'Kotzen', 'Leben', 'Pflege']","LebensspielDas Leben ist kein Spiel, aber wenn Spiel nicht sein darf, ist es auch kein Leben.Spielen ist leicht und schwer zugleich. Wer bestimmt? Der Kerle meinte gestern zu mir, dass es schön ist, das Leben. Gerade er, der sich in der letzen Woche wieder jeden Tag die Seele aus den Leib gekotzt hat. Mein Töchting rollt zu ihm hin und streichelt beseelt seinen Hals. Es ist das schönste Schauspiel weit und…View On WordPress"
10,2022-07-28 13:33:37 GMT,https://www.tumblr.com/blog/view/myanonymuniverse/691027540687667200,myanonymuniverse,,"['verletzt', 'kaputt', 'depression', 'essen', 'essstörung', 'müde', 'gedanke des tages']","Du denkst du hast es unter Kontrolle und dir macht es nichts aus. Aber den Kampf gegen das Essen, wirst du einfach nie gewinnen…"
11,2022-07-25 00:36:54 GMT,https://deinheilpraktiker.tumblr.com/post/690706883554738176,deinheilpraktiker,,"['Hausmittel', 'Apfel_für_Anorexie', 'Appetitverlust', 'Ernährungsplan_zur_Genesung_von_Essstörungen', 'Essstörung', 'Hausmittel_gegen_magersucht', 'Magersucht', 'Magersucht_Behandlung']","‎Hausmittel gegen Magersucht -  Was ist Anorexie?Anorexie (Anorexia Nervosa) ist eine ernsthafte Erkrankung, die zu Problemen beim Essen führt.  Menschen mit Anorexie machen sich viele Gedanken darüber, wie ihr Körper aussieht und wie viel sie wiegen.  Sie vermeiden es zu essen, Abführmittel zu nehmen oder verbringen v... - #Apfel_für_Anorexie #Appetitverlust #Ernährungsplan_zur_Genesung_von_Essstörungen #Essstörung #Hausmittel #Hausmittel_gegen_magersucht #Magersucht #Magersucht_Behandlung"
12,2022-07-25 00:35:34 GMT,https://deinheilpraktiker.tumblr.com/post/690706798940946432/hausmittel-gegen-magersucht,deinheilpraktiker,,"['Apfel für Anorexie', 'Appetitverlust', 'Ernährungsplan zur Genesung von Essstörungen', 'Essstörung', 'Hausmittel', 'Hausmittel gegen magersucht', 'Magersucht', 'Magersucht Behandlung']","Hausmittel gegen MagersuchtWas ist Anorexie?Anorexie (Anorexia Nervosa) ist eine ernsthafte Erkrankung, die zu Problemen beim Essen führt. Menschen mit Anorexie machen sich viele Gedanken darüber, wie ihr Körper aussieht und wie viel sie wiegen. Sie vermeiden es zu essen, Abführmittel zu nehmen oder verbringen viele Stunden Sport. Magersuchtpatienten können selbst an Hunger sterben.Häufige Ursachen von AnorexieAngst…View On WordPress"
13,2022-07-17 19:26:50 GMT,https://www.tumblr.com/blog/view/veryinsecuregirl/690053196675268608,veryinsecuregirl,,"['magersucht', 'essstörung', 'depressive', 'depression', 'essstoerung', 'anorexie', 'anorexia', 'depressiv', 'depressing quotes']",Manchmal scheint alles gut zu sein und dann kommt der große Knall.
14,2022-07-09 17:30:52 GMT,https://www.tumblr.com/blog/view/andergrenze/689321124467785728,andergrenze,,"['borderline personality disorder', 'borderline', 'anorexik', 'bulimie', 'essstörung', 'eating disorder', 'depression', 'angst', 'kptbs', 'trauma', 'psychiatrie', 'selbstverletzten', 'selbstwertgefühl', 'hope', 'therapie', 'hoffnung']","Ich glaube, ich sollte an dieser Lähmung festhalten Denn täte ich es nicht So würde es das Ende vom Anfang bedeutenDer sich zumindest wie so einer anfühlte In der Hoffnung nicht getäuscht worden zu seinVon falschen emotionalen Dingen Schreibe ich mit letzter Kraft nieder Bis meine Hände schlafen Und ich sie schlafen lasse Und eben nicht verletze "
15,2022-06-30 16:19:56 GMT,https://www.tumblr.com/blog/view/andergrenze/688501289055846400,andergrenze,,"['borderline personality disorder', 'borderline', 'anorexik', 'bulimie', 'essstörung', 'eating disorder', 'selbstverletzten', 'self harrrm', 'selbstwertgefühl', 'hope', 'kptbs', 'kämpferin', 'depression', 'trauma', 'psychiatrie', 'therapie', 'my text', 'gedicht']","Der Virus Es durchfegt mich wie ein eiskalter TornadoVor mir bäumt sich eine Wand aus Milliarden Viren empor und rast auf mich in Lichtgeschwindigkeit zu Nicht mal ein wimpernschlag ist möglich Ehe mich das Ungetüm auf meiner Flucht einholtDann dringt es in mich, in jede einzelne Zelle und bringt mir fieberschübe der Angst Die Viren vernichten all das gute, all das gelernte, sie Schwemmen und peitschen es aus mit aller Gewalt Nicht mal ein wimpernschlagUnd mein Körper ist besetzt und angesteckt vom gefährlichsten Virus der Welt :Meiner Vergangenheit "
